Landfill,Lat,Long
ALBACETE,38.99459,-1.77685
ALBOX: MANCOMUNIDAD ALMANZORA LEVANTE,37.39064404,-2.173968667
ALCALÁ DEL RÍO (LA VEGA-SEVILLA),37.59919,-5.99945
ALCÁZAR DE SAN JUAN (COMPLEJO): COMSERMANCHA,39.43293227,-3.225099281
ALMERÍA: CMA,36.87887944,-2.286745878
CAN MATA (ELS HOSTALETS DE PIEROLA): DC,41.53085371,1.806387398
CAÑADA HERMOSA: MURCIA,37.98068294,-1.288078987
DAIMIEL,39.06452646,-3.584597683
ECOPARQUE DE TOLEDO: GESMAT,39.861188,-4.163804
ECOPARQUE GRAN CANARIA NORTE (SALTO DEL NEGRO),28.05876227,-15.42357117
ECOPARQUE GRAN CANARIA SUR (JUAN GRANDE),27.8121,-15.48673
FAMALICAO - VALOR RIB,41.39751818,-8.58465574
FONTCALENT: ALICANTE (AALL),38.37083125,-0.592178069
GOLMAYO,41.74555655,-2.503547775
"LAS LAGUNAS, ZALLA",43.18756033,-3.13413046
MILÁ: MENORCA,39.91812369,4.260458113
ORÍS,42.07442678,2.209728427
PLANALTO BEIRAO - CITERPB (CENTRO INTEGRADO DE TRATAMIENTO Y ELIMINACIÓN DE PLANALTO BEIRAO),40.472643,-8.156876
PUERTOLLANO: RCDS,38.66513634,-4.112296991
SANTA MARÍA DE PALAUTORDERA TM: DC,41.69658583,2.458856742
UTE GIREF,38.9416372,1.4815011
VILLARRASA_UTE TRATAMIENTO HUELVA,37.45122985,-6.639727806
PIEDRA NEGRA,38.49118471,-0.490177855
TEST_LANDFILL Planta de biometanización y compostaje de Pinto (NOT-PREZERO),40.2608474,-3.640743926
